participant_id	sample_id	molecule	time_hours	value	unit	reference_id	coordinate_system	start	end	feature_id
SYN001	blood_bulk	dna	0	10	arbitrary_units	demo-dna	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	dna	6	11	arbitrary_units	demo-dna	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	dna	12	12	arbitrary_units	demo-dna	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	dna	24	13	arbitrary_units	demo-dna	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	dna	0	10	arbitrary_units	demo-dna	1-based-inclusive	41	60	region_41_60
SYN001	blood_bulk	dna	6	11	arbitrary_units	demo-dna	1-based-inclusive	41	60	region_41_60
SYN001	blood_bulk	dna	12	12	arbitrary_units	demo-dna	1-based-inclusive	41	60	region_41_60
SYN001	blood_bulk	dna	24	13	arbitrary_units	demo-dna	1-based-inclusive	41	60	region_41_60
SYN001	blood_bulk	rna	0	14	arbitrary_units	demo-rna	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	rna	6	17	arbitrary_units	demo-rna	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	rna	12	20	arbitrary_units	demo-rna	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	rna	24	23	arbitrary_units	demo-rna	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	rna	0	14	arbitrary_units	demo-rna	1-based-inclusive	41	60	region_41_60
SYN001	blood_bulk	rna	6	17	arbitrary_units	demo-rna	1-based-inclusive	41	60	region_41_60
SYN001	blood_bulk	rna	12	20	arbitrary_units	demo-rna	1-based-inclusive	41	60	region_41_60
SYN001	blood_bulk	rna	24	23	arbitrary_units	demo-rna	1-based-inclusive	41	60	region_41_60
SYN001	blood_bulk	protein	0	18	arbitrary_units	demo-protein	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	protein	6	19	arbitrary_units	demo-protein	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	protein	12	20	arbitrary_units	demo-protein	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	protein	24	21	arbitrary_units	demo-protein	1-based-inclusive	20	40	region_20_40
SYN001	blood_bulk	protein	0	18	arbitrary_units	demo-protein	1-based-inclusive	41	60	region_41_60
SYN001	blood_bulk	protein	6	19	arbitrary_units	demo-protein	1-based-inclusive	41	60	region_41_60
SYN001	blood_bulk	protein	12	20	arbitrary_units	demo-protein	1-based-inclusive	41	60	region_41_60
SYN001	blood_bulk	protein	24	21	arbitrary_units	demo-protein	1-based-inclusive	41	60	region_41_60
