participant_id	sample_id	molecule	feature_id	measurement	value	unit	details	evidence	study_id	source_patient_id	profile_id	entrez_gene_id
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALI	TCGA-3C-AALI-01	protein	ERBB2	RPPA abundance	3.824	RPPA log2 value	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALI	brca_tcga_pan_can_atlas_2018_rppa	2064
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALI	TCGA-3C-AALI-01	protein	ESR1	RPPA abundance	0.0659	RPPA log2 value	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALI	brca_tcga_pan_can_atlas_2018_rppa	2099
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALI	TCGA-3C-AALI-01	protein	PGR	RPPA abundance	-0.5406	RPPA log2 value	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALI	brca_tcga_pan_can_atlas_2018_rppa	5241
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALK	TCGA-3C-AALK-01	protein	ERBB2	RPPA abundance	1.3543	RPPA log2 value	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALK	brca_tcga_pan_can_atlas_2018_rppa	2064
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALK	TCGA-3C-AALK-01	protein	ESR1	RPPA abundance	1.8195	RPPA log2 value	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALK	brca_tcga_pan_can_atlas_2018_rppa	2099
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALK	TCGA-3C-AALK-01	protein	PGR	RPPA abundance	-0.4701	RPPA log2 value	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALK	brca_tcga_pan_can_atlas_2018_rppa	5241
brca_tcga_pan_can_atlas_2018|TCGA-4H-AAAK	TCGA-4H-AAAK-01	protein	ERBB2	RPPA abundance	1.1094	RPPA log2 value	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-4H-AAAK	brca_tcga_pan_can_atlas_2018_rppa	2064
brca_tcga_pan_can_atlas_2018|TCGA-4H-AAAK	TCGA-4H-AAAK-01	protein	ESR1	RPPA abundance	5.2517	RPPA log2 value	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-4H-AAAK	brca_tcga_pan_can_atlas_2018_rppa	2099
brca_tcga_pan_can_atlas_2018|TCGA-4H-AAAK	TCGA-4H-AAAK-01	protein	PGR	RPPA abundance	-0.3954	RPPA log2 value	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-4H-AAAK	brca_tcga_pan_can_atlas_2018_rppa	5241
brca_tcga_pan_can_atlas_2018|TCGA-5T-A9QA	TCGA-5T-A9QA-01	protein	ERBB2	RPPA abundance	1.6035	RPPA log2 value	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-5T-A9QA	brca_tcga_pan_can_atlas_2018_rppa	2064
brca_tcga_pan_can_atlas_2018|TCGA-5T-A9QA	TCGA-5T-A9QA-01	protein	ESR1	RPPA abundance	6.2896	RPPA log2 value	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-5T-A9QA	brca_tcga_pan_can_atlas_2018_rppa	2099
brca_tcga_pan_can_atlas_2018|TCGA-5T-A9QA	TCGA-5T-A9QA-01	protein	PGR	RPPA abundance	-0.7198	RPPA log2 value	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-5T-A9QA	brca_tcga_pan_can_atlas_2018_rppa	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SF	TCGA-A1-A0SF-01	protein	ERBB2	RPPA abundance	0.6947	RPPA log2 value	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SF	brca_tcga_pan_can_atlas_2018_rppa	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SF	TCGA-A1-A0SF-01	protein	ESR1	RPPA abundance	2.1683	RPPA log2 value	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SF	brca_tcga_pan_can_atlas_2018_rppa	2099
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SF	TCGA-A1-A0SF-01	protein	PGR	RPPA abundance	-0.5889	RPPA log2 value	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SF	brca_tcga_pan_can_atlas_2018_rppa	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SH	TCGA-A1-A0SH-01	protein	ERBB2	RPPA abundance	1.2122	RPPA log2 value	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SH	brca_tcga_pan_can_atlas_2018_rppa	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SH	TCGA-A1-A0SH-01	protein	ESR1	RPPA abundance	-0.0346	RPPA log2 value	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SH	brca_tcga_pan_can_atlas_2018_rppa	2099
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SH	TCGA-A1-A0SH-01	protein	PGR	RPPA abundance	-0.1506	RPPA log2 value	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SH	brca_tcga_pan_can_atlas_2018_rppa	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SJ	TCGA-A1-A0SJ-01	protein	ERBB2	RPPA abundance	0.7842	RPPA log2 value	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SJ	brca_tcga_pan_can_atlas_2018_rppa	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SJ	TCGA-A1-A0SJ-01	protein	ESR1	RPPA abundance	1.5106	RPPA log2 value	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SJ	brca_tcga_pan_can_atlas_2018_rppa	2099
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SJ	TCGA-A1-A0SJ-01	protein	PGR	RPPA abundance	-0.6085	RPPA log2 value	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SJ	brca_tcga_pan_can_atlas_2018_rppa	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SK	TCGA-A1-A0SK-01	protein	ERBB2	RPPA abundance	-0.5202	RPPA log2 value	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SK	brca_tcga_pan_can_atlas_2018_rppa	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SK	TCGA-A1-A0SK-01	protein	ESR1	RPPA abundance	-1.8545	RPPA log2 value	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SK	brca_tcga_pan_can_atlas_2018_rppa	2099
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SK	TCGA-A1-A0SK-01	protein	PGR	RPPA abundance	-0.8181	RPPA log2 value	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SK	brca_tcga_pan_can_atlas_2018_rppa	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SO	TCGA-A1-A0SO-01	protein	ERBB2	RPPA abundance	0.6943	RPPA log2 value	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SO	brca_tcga_pan_can_atlas_2018_rppa	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SO	TCGA-A1-A0SO-01	protein	ESR1	RPPA abundance	-2.1359	RPPA log2 value	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SO	brca_tcga_pan_can_atlas_2018_rppa	2099
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SO	TCGA-A1-A0SO-01	protein	PGR	RPPA abundance	-0.8805	RPPA log2 value	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SO	brca_tcga_pan_can_atlas_2018_rppa	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SQ	TCGA-A1-A0SQ-01	protein	ERBB2	RPPA abundance	0.8109	RPPA log2 value	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SQ	brca_tcga_pan_can_atlas_2018_rppa	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SQ	TCGA-A1-A0SQ-01	protein	ESR1	RPPA abundance	2.6481	RPPA log2 value	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rppa; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SQ	brca_tcga_pan_can_atlas_2018_rppa	2099
