participant_id	sample_id	molecule	feature_id	measurement	value	unit	details	evidence	study_id	source_patient_id	profile_id	entrez_gene_id
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALI	TCGA-3C-AALI-01	rna	ERBB2	RNA expression	194625	batch-normalized RSEM	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALI	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2064
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALI	TCGA-3C-AALI-01	rna	ESR1	RNA expression	68.5155	batch-normalized RSEM	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALI	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2099
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALI	TCGA-3C-AALI-01	rna	PGR	RNA expression	27.1887	batch-normalized RSEM	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALI	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	5241
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALK	TCGA-3C-AALK-01	rna	ERBB2	RNA expression	36022.8	batch-normalized RSEM	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALK	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2064
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALK	TCGA-3C-AALK-01	rna	ESR1	RNA expression	2485.31	batch-normalized RSEM	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALK	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2099
brca_tcga_pan_can_atlas_2018|TCGA-3C-AALK	TCGA-3C-AALK-01	rna	PGR	RNA expression	2236.46	batch-normalized RSEM	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-3C-AALK	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	5241
brca_tcga_pan_can_atlas_2018|TCGA-4H-AAAK	TCGA-4H-AAAK-01	rna	ERBB2	RNA expression	12236.6	batch-normalized RSEM	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-4H-AAAK	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2064
brca_tcga_pan_can_atlas_2018|TCGA-4H-AAAK	TCGA-4H-AAAK-01	rna	ESR1	RNA expression	5518.3	batch-normalized RSEM	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-4H-AAAK	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2099
brca_tcga_pan_can_atlas_2018|TCGA-4H-AAAK	TCGA-4H-AAAK-01	rna	PGR	RNA expression	4425.19	batch-normalized RSEM	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-4H-AAAK	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	5241
brca_tcga_pan_can_atlas_2018|TCGA-5T-A9QA	TCGA-5T-A9QA-01	rna	ERBB2	RNA expression	11993.2	batch-normalized RSEM	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-5T-A9QA	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2064
brca_tcga_pan_can_atlas_2018|TCGA-5T-A9QA	TCGA-5T-A9QA-01	rna	ESR1	RNA expression	3557.01	batch-normalized RSEM	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-5T-A9QA	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2099
brca_tcga_pan_can_atlas_2018|TCGA-5T-A9QA	TCGA-5T-A9QA-01	rna	PGR	RNA expression	108.787	batch-normalized RSEM	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-5T-A9QA	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SF	TCGA-A1-A0SF-01	rna	ERBB2	RNA expression	7976.87	batch-normalized RSEM	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SF	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SF	TCGA-A1-A0SF-01	rna	ESR1	RNA expression	7895.91	batch-normalized RSEM	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SF	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2099
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SF	TCGA-A1-A0SF-01	rna	PGR	RNA expression	7068.28	batch-normalized RSEM	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SF	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SH	TCGA-A1-A0SH-01	rna	ERBB2	RNA expression	17990.8	batch-normalized RSEM	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SH	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SH	TCGA-A1-A0SH-01	rna	ESR1	RNA expression	1288.95	batch-normalized RSEM	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SH	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2099
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SH	TCGA-A1-A0SH-01	rna	PGR	RNA expression	4629.31	batch-normalized RSEM	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SH	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SJ	TCGA-A1-A0SJ-01	rna	ERBB2	RNA expression	9313.95	batch-normalized RSEM	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SJ	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SJ	TCGA-A1-A0SJ-01	rna	ESR1	RNA expression	4684.77	batch-normalized RSEM	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SJ	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2099
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SJ	TCGA-A1-A0SJ-01	rna	PGR	RNA expression	3781.23	batch-normalized RSEM	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SJ	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SK	TCGA-A1-A0SK-01	rna	ERBB2	RNA expression	303.498	batch-normalized RSEM	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SK	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SK	TCGA-A1-A0SK-01	rna	ESR1	RNA expression	7.2487	batch-normalized RSEM	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SK	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2099
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SK	TCGA-A1-A0SK-01	rna	PGR	RNA expression	6.9335	batch-normalized RSEM	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SK	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SO	TCGA-A1-A0SO-01	rna	ERBB2	RNA expression	9483.46	batch-normalized RSEM	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SO	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SO	TCGA-A1-A0SO-01	rna	ESR1	RNA expression	14.5991	batch-normalized RSEM	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SO	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2099
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SO	TCGA-A1-A0SO-01	rna	PGR	RNA expression	11.6252	batch-normalized RSEM	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SO	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	5241
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SQ	TCGA-A1-A0SQ-01	rna	ERBB2	RNA expression	5585.07	batch-normalized RSEM	Entrez 2064; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SQ	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2064
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SQ	TCGA-A1-A0SQ-01	rna	ESR1	RNA expression	12833.9	batch-normalized RSEM	Entrez 2099; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SQ	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	2099
brca_tcga_pan_can_atlas_2018|TCGA-A1-A0SQ	TCGA-A1-A0SQ-01	rna	PGR	RNA expression	8382.37	batch-normalized RSEM	Entrez 5241; profile brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna; gene-level processed measurement, not sequence or atomic structure	public experimental: TCGA via cBioPortal	brca_tcga_pan_can_atlas_2018	TCGA-A1-A0SQ	brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna	5241
