participant_id	sample_id	molecule	point_id	x	y	z	unit	resolution	reference_id	coordinate_system	start	end
SYN001	blood_bulk	dna	1	2.000	0.000	0.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	1	1
SYN001	blood_bulk	dna	2	1.393	1.435	0.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	2	2
SYN001	blood_bulk	dna	3	-0.058	1.999	1.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	3	3
SYN001	blood_bulk	dna	4	-1.475	1.351	2.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	4	4
SYN001	blood_bulk	dna	5	-1.997	-0.117	2.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	5	5
SYN001	blood_bulk	dna	6	-1.307	-1.514	3.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	6	6
SYN001	blood_bulk	dna	7	0.175	-1.992	4.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	7	7
SYN001	blood_bulk	dna	8	1.551	-1.263	4.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	8	8
SYN001	blood_bulk	dna	9	1.986	0.233	5.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	9	9
SYN001	blood_bulk	dna	10	1.217	1.587	6.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	10	10
SYN001	blood_bulk	dna	11	-0.291	1.979	7.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	11	11
SYN001	blood_bulk	dna	12	-1.622	1.170	7.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	12	12
SYN001	blood_bulk	dna	13	-1.969	-0.349	8.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	13	13
SYN001	blood_bulk	dna	14	-1.122	-1.656	9.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	14	14
SYN001	blood_bulk	dna	15	0.406	-1.958	9.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	15	15
SYN001	blood_bulk	dna	16	1.688	-1.073	10.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	16	16
SYN001	blood_bulk	dna	17	1.946	0.463	11.200	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	17	17
SYN001	blood_bulk	dna	18	1.023	1.718	11.900	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	18	18
SYN001	blood_bulk	dna	19	-0.520	1.931	12.600	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	19	19
SYN001	blood_bulk	dna	20	-1.747	0.973	13.300	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	20	20
SYN001	blood_bulk	dna	21	-1.915	-0.576	14.000	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	21	21
SYN001	blood_bulk	dna	22	-0.921	-1.775	14.700	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	22	22
SYN001	blood_bulk	dna	23	0.631	-1.898	15.400	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	23	23
SYN001	blood_bulk	dna	24	1.801	-0.869	16.100	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	24	24
SYN001	blood_bulk	dna	25	1.878	0.687	16.800	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	25	25
SYN001	blood_bulk	dna	26	0.816	1.826	17.500	schematic_units	coarse teaching points	demo-dna	1-based-inclusive	26	26
