participant_id	sample_id	assembly	chrom	start1	end1	start2	end2	count	normalization	coordinate_system
SYN001	blood_bulk	teaching	demo_chr1	0	10000	0	10000	80	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	0	10000	10000	20000	40	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	0	10000	20000	30000	27	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	0	10000	30000	40000	20	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	0	10000	40000	50000	16	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	0	10000	50000	60000	13	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	0	10000	60000	70000	11	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	0	10000	70000	80000	10	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	10000	20000	10000	20000	80	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	10000	20000	20000	30000	40	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	10000	20000	30000	40000	27	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	10000	20000	40000	50000	20	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	10000	20000	50000	60000	16	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	10000	20000	60000	70000	13	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	10000	20000	70000	80000	11	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	20000	30000	20000	30000	80	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	20000	30000	30000	40000	40	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	20000	30000	40000	50000	27	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	20000	30000	50000	60000	45	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	20000	30000	60000	70000	16	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	20000	30000	70000	80000	13	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	30000	40000	30000	40000	80	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	30000	40000	40000	50000	40	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	30000	40000	50000	60000	27	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	30000	40000	60000	70000	20	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	30000	40000	70000	80000	16	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	40000	50000	40000	50000	80	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	40000	50000	50000	60000	40	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	40000	50000	60000	70000	27	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	40000	50000	70000	80000	20	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	50000	60000	50000	60000	80	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	50000	60000	60000	70000	40	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	50000	60000	70000	80000	27	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	60000	70000	60000	70000	80	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	60000	70000	70000	80000	40	raw	0-based-half-open
SYN001	blood_bulk	teaching	demo_chr1	70000	80000	70000	80000	80	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	0	10000	0	10000	6	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	0	10000	10000	20000	3	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	0	10000	20000	30000	2	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	0	10000	30000	40000	2	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	0	10000	40000	50000	1	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	0	10000	50000	60000	1	raw	0-based-half-open
SYN001	blood_T01	teaching	demo_chr1	0	10000	60000	70000	1	raw	0-based-half-open
